          Dimensions           Particles        Hidden-nodes         Metro-steps          StepLength              Energy          Energy_std          Energy_var       Accept_number        Accept_ratio        Imposampling          Analytical         Interaction               Epoch        LearningRate      HiddenGradNorm     VisibleGradNorm      WeightGradNorm
                   2                   2                   5               65536             0.60000             4.57254             1.96790             3.87264               25768             0.39319                   1                   1                   1                   0             0.01000             0.53888             2.54515             0.59689
                   2                   2                   5               65536             0.60000             4.34357             1.75963             3.09632               26853             0.40974                   1                   1                   1                   1             0.01000             0.53625             2.40944             0.59634
                   2                   2                   5               65536             0.60000             4.29219             1.73599             3.01367               27508             0.41974                   1                   1                   1                   2             0.01000             0.49802             2.19064             0.54755
                   2                   2                   5               65536             0.60000             4.06991             1.62111             2.62800               28534             0.43539                   1                   1                   1                   3             0.01000             0.44965             1.88034             0.49202
                   2                   2                   5               65536             0.60000             3.97419             1.59326             2.53848               29077             0.44368                   1                   1                   1                   4             0.01000             0.43451             1.81046             0.47151
                   2                   2                   5               65536             0.60000             3.87133             1.82553             3.33258               29682             0.45291                   1                   1                   1                   5             0.01000             0.41026             1.67443             0.44146
                   2                   2                   5               65536             0.60000             3.77836             1.57807             2.49031               30709             0.46858                   1                   1                   1                   6             0.01000             0.43034             1.71003             0.45610
                   2                   2                   5               65536             0.60000             3.63229             1.52309             2.31981               31330             0.47806                   1                   1                   1                   7             0.01000             0.34297             1.35001             0.36214
                   2                   2                   5               65536             0.60000             3.56966             1.78445             3.18425               32386             0.49417                   1                   1                   1                   8             0.01000             0.30741             1.20308             0.31979
                   2                   2                   5               65536             0.60000             3.57252             2.74182             7.51759               32843             0.50114                   1                   1                   1                   9             0.01000             0.29509             1.18048             0.30286
                   2                   2                   5               65536             0.60000             3.49414             1.78789             3.19656               33510             0.51132                   1                   1                   1                  10             0.01000             0.27117             1.08238             0.27564
                   2                   2                   5               65536             0.60000             3.41718             1.59464             2.54289               34193             0.52174                   1                   1                   1                  11             0.01000             0.23371             0.92875             0.23331
                   2                   2                   5               65536             0.60000             3.41125             1.64898             2.71913               34094             0.52023                   1                   1                   1                  12             0.01000             0.20077             0.84203             0.19638
                   2                   2                   5               65536             0.60000             3.37167             1.54453             2.38559               34744             0.53015                   1                   1                   1                  13             0.01000             0.19431             0.79067             0.18883
                   2                   2                   5               65536             0.60000             3.34186             1.91013             3.64859               35454             0.54099                   1                   1                   1                  14             0.01000             0.15020             0.63750             0.14213
                   2                   2                   5               65536             0.60000             3.29885             1.41451             2.00085               35199             0.53709                   1                   1                   1                  15             0.01000             0.13815             0.59686             0.12867
