          Dimensions           Particles        Hidden-nodes         Metro-steps          StepLength              Energy          Energy_std          Energy_var       Accept_number        Accept_ratio        Imposampling       optimizerType         Interaction               Epoch        LearningRate      HiddenGradNorm     VisibleGradNorm      WeightGradNorm
                   1                   1                   6                4096          0.60000000          0.50358629          0.02449631          0.00060007                3447          0.84155273                   0           vanillaGD                   0                   0          0.00100000          0.00058470          0.03404509          0.00001860
                   1                   1                   6                4096          0.60000000          0.49756188          0.02556861          0.00065375                3395          0.82885742                   0           vanillaGD                   0                   1          0.00100000          0.00064662          0.03765666          0.00002056
                   1                   1                   6                4096          0.60000000          0.50085727          0.02437109          0.00059395                3419          0.83471680                   0           vanillaGD                   0                   2          0.00100000          0.00058447          0.03403434          0.00001859
                   1                   1                   6                4096          0.60000000          0.50125693          0.02618286          0.00068554                3391          0.82788086                   0           vanillaGD                   0                   3          0.00100000          0.00067381          0.03923603          0.00002143
                   1                   1                   6                4096          0.60000000          0.49875593          0.02422763          0.00058698                3401          0.83032227                   0           vanillaGD                   0                   4          0.00100000          0.00058163          0.03386987          0.00001850
                   1                   1                   6                4096          0.60000000          0.49480506          0.02429168          0.00059009                3404          0.83105469                   0           vanillaGD                   0                   5          0.00100000          0.00059076          0.03440535          0.00001879
                   1                   1                   6                4096          0.60000000          0.49979349          0.02407166          0.00057944                3412          0.83300781                   0           vanillaGD                   0                   6          0.00100000          0.00057305          0.03336937          0.00001822
                   1                   1                   6                4096          0.60000000          0.50070665          0.02300192          0.00052909                3464          0.84570312                   0           vanillaGD                   0                   7          0.00100000          0.00052505          0.03057489          0.00001670
                   1                   1                   6                4096          0.60000000          0.50205516          0.02301358          0.00052963                3434          0.83837891                   0           vanillaGD                   0                   8          0.00100000          0.00052316          0.03046300          0.00001664
                   1                   1                   6                4096          0.60000000          0.49990008          0.02398293          0.00057518                3437          0.83911133                   0           vanillaGD                   0                   9          0.00100000          0.00057123          0.03326391          0.00001817
                   1                   1                   6                4096          0.60000000          0.49877058          0.02472672          0.00061141                3432          0.83789062                   0           vanillaGD                   0                  10          0.00100000          0.00061112          0.03558838          0.00001943
                   1                   1                   6                4096          0.60000000          0.50215703          0.02246673          0.00050475                3422          0.83544922                   0           vanillaGD                   0                  11          0.00100000          0.00050067          0.02915356          0.00001592
                   1                   1                   6                4096          0.60000000          0.50026776          0.02424829          0.00058798                3394          0.82861328                   0           vanillaGD                   0                  12          0.00100000          0.00058518          0.03407611          0.00001861
                   1                   1                   6                4096          0.60000000          0.50240770          0.02530960          0.00064058                3426          0.83642578                   0           vanillaGD                   0                  13          0.00100000          0.00063560          0.03701120          0.00002021
                   1                   1                   6                4096          0.60000000          0.50253763          0.02428579          0.00058980                3429          0.83715820                   0           vanillaGD                   0                  14          0.00100000          0.00058852          0.03427083          0.00001872
                   1                   1                   6                4096          0.60000000          0.50454906          0.02449844          0.00060017                3427          0.83666992                   0           vanillaGD                   0                  15          0.00100000          0.00059145          0.03443781          0.00001881
                   1                   1                   6                4096          0.60000000          0.49951091          0.02824730          0.00079791                3375          0.82397461                   0           vanillaGD                   0                  16          0.00100000          0.00079623          0.04636695          0.00002532
