          Dimensions           Particles        Hidden-nodes         Metro-steps          StepLength              Energy          Energy_std          Energy_var       Accept_number        Accept_ratio        Imposampling       optimizerType         Interaction               Epoch        LearningRate      HiddenGradNorm     VisibleGradNorm      WeightGradNorm
                   2                   2                   6               65536          0.10000000          2.04595645          0.19468284          0.03790141               62731          0.95719910                   0           vanillaGD                   0                   0          0.50000000          0.00547519          0.26904226          0.00051763
                   2                   2                   6               65536          0.10000000          2.02315561          0.12003974          0.01440954               62591          0.95506287                   0           vanillaGD                   0                   1          0.50000000          0.00331972          0.18851909          0.00032546
                   2                   2                   6               65536          0.10000000          2.00033122          0.04093430          0.00167562               62665          0.95619202                   0           vanillaGD                   0                   2          0.50000000          0.00116780          0.05304053          0.00011429
                   2                   2                   6               65536          0.10000000          1.99795741          0.02328288          0.00054209               62822          0.95858765                   0           vanillaGD                   0                   3          0.50000000          0.00069011          0.02897900          0.00006708
                   2                   2                   6               65536          0.10000000          1.99676333          0.01616320          0.00026125               62709          0.95686340                   0           vanillaGD                   0                   4          0.50000000          0.00053845          0.02169417          0.00005270
                   2                   2                   6               65536          0.10000000          2.00072303          0.00913511          0.00008345               62827          0.95866394                   0           vanillaGD                   0                   5          0.50000000          0.00032294          0.01263612          0.00003150
                   2                   2                   6               65536          0.10000000          1.99995717          0.00530618          0.00002816               62923          0.96012878                   0           vanillaGD                   0                   6          0.50000000          0.00016417          0.00591808          0.00001582
                   2                   2                   6               65536          0.10000000          1.99980741          0.00390473          0.00001525               62715          0.95695496                   0           vanillaGD                   0                   7          0.50000000          0.00010084          0.00373976          0.00000979
                   2                   2                   6               65536          0.10000000          2.00029521          0.00399977          0.00001600               62612          0.95538330                   0           vanillaGD                   0                   8          0.50000000          0.00005733          0.00212520          0.00000551
                   2                   2                   6               65536          0.10000000          2.00053321          0.00350818          0.00001231               62504          0.95373535                   0           vanillaGD                   0                   9          0.50000000          0.00004271          0.00173944          0.00000351
                   2                   2                   6               65536          0.10000000          1.99984636          0.00348472          0.00001214               62754          0.95755005                   0           vanillaGD                   0                  10          0.50000000          0.00003691          0.00134861          0.00000354
                   2                   2                   6               65536          0.10000000          2.00011352          0.00373346          0.00001394               62722          0.95706177                   0           vanillaGD                   0                  11          0.50000000          0.00002931          0.00145019          0.00000252
                   2                   2                   6               65536          0.10000000          2.00041305          0.00443195          0.00001964               62588          0.95501709                   0           vanillaGD                   0                  12          0.50000000          0.00005579          0.00242340          0.00000544
                   2                   2                   6               65536          0.10000000          1.99961631          0.00329884          0.00001088               62675          0.95634460                   0           vanillaGD                   0                  13          0.50000000          0.00003241          0.00163180          0.00000307
                   2                   2                   6               65536          0.10000000          1.99963940          0.00319010          0.00001018               62774          0.95785522                   0           vanillaGD                   0                  14          0.50000000          0.00001465          0.00065953          0.00000127
                   2                   2                   6               65536          0.10000000          2.00039881          0.00397669          0.00001581               62689          0.95655823                   0           vanillaGD                   0                  15          0.50000000          0.00002288          0.00107535          0.00000205
                   2                   2                   6               65536          0.10000000          2.00030009          0.00423216          0.00001791               62812          0.95843506                   0           vanillaGD                   0                  16          0.50000000          0.00004845          0.00165110          0.00000458
                   2                   2                   6               65536          0.10000000          2.00012244          0.00395470          0.00001564               62740          0.95733643                   0           vanillaGD                   0                  17          0.50000000          0.00006825          0.00226581          0.00000612
                   2                   2                   6               65536          0.10000000          2.00026952          0.00385920          0.00001489               62648          0.95593262                   0           vanillaGD                   0                  18          0.50000000          0.00006196          0.00217510          0.00000583
                   2                   2                   6               65536          0.10000000          2.00071894          0.00467822          0.00002189               62555          0.95451355                   0           vanillaGD                   0                  19          0.50000000          0.00002257          0.00106140          0.00000173
