          Dimensions           Particles        Hidden-nodes         Metro-steps          StepLength              Energy          Energy_std          Energy_var       Accept_number        Accept_ratio        Imposampling       optimizerType         Interaction               Epoch        LearningRate      HiddenGradNorm     VisibleGradNorm      WeightGradNorm
                   2                   1                   6               65536          0.60000000          1.00033974          0.00785351          0.00006168               49200          0.75073242                   0           vanillaGD                   0                   0          0.50000000          0.00029122          0.01045926          0.00002209
                   2                   1                   6               65536          0.60000000          0.99994216          0.00437390          0.00001913               49152          0.75000000                   0           vanillaGD                   0                   1          0.50000000          0.00014465          0.00519833          0.00001105
                   2                   1                   6               65536          0.60000000          0.99998948          0.00302738          0.00000917               48985          0.74745178                   0           vanillaGD                   0                   2          0.50000000          0.00007536          0.00270768          0.00000575
                   2                   1                   6               65536          0.60000000          1.00004997          0.00254323          0.00000647               49040          0.74829102                   0           vanillaGD                   0                   3          0.50000000          0.00003951          0.00142016          0.00000302
                   2                   1                   6               65536          0.60000000          0.99995811          0.00231203          0.00000535               48896          0.74609375                   0           vanillaGD                   0                   4          0.50000000          0.00001181          0.00044163          0.00000092
                   2                   1                   6               65536          0.60000000          0.99999411          0.00236564          0.00000560               48863          0.74559021                   0           vanillaGD                   0                   5          0.50000000          0.00000926          0.00034779          0.00000073
                   2                   1                   6               65536          0.60000000          0.99995702          0.00234545          0.00000550               48967          0.74717712                   0           vanillaGD                   0                   6          0.50000000          0.00001242          0.00045123          0.00000091
                   2                   1                   6               65536          0.60000000          1.00001665          0.00236383          0.00000559               48901          0.74617004                   0           vanillaGD                   0                   7          0.50000000          0.00000273          0.00009933          0.00000021
                   2                   1                   6               65536          0.60000000          0.99997812          0.00232598          0.00000541               48933          0.74665833                   0           vanillaGD                   0                   8          0.50000000          0.00000246          0.00011511          0.00000014
                   2                   1                   6               65536          0.60000000          0.99993878          0.00235410          0.00000554               49270          0.75180054                   0           vanillaGD                   0                   9          0.50000000          0.00000496          0.00017794          0.00000038
                   2                   1                   6               65536          0.60000000          0.99994607          0.00228394          0.00000522               49119          0.74949646                   0           vanillaGD                   0                  10          0.50000000          0.00000384          0.00014960          0.00000026
                   2                   1                   6               65536          0.60000000          0.99999971          0.00232794          0.00000542               49024          0.74804688                   0           vanillaGD                   0                  11          0.50000000          0.00000054          0.00002838          0.00000003
                   2                   1                   6               65536          0.60000000          1.00002517          0.00239590          0.00000574               49203          0.75077820                   0           vanillaGD                   0                  12          0.50000000          0.00000504          0.00018251          0.00000039
                   2                   1                   6               65536          0.60000000          1.00002997          0.00243929          0.00000595               48766          0.74411011                   0           vanillaGD                   0                  13          0.50000000          0.00000120          0.00004332          0.00000009
                   2                   1                   6               65536          0.60000000          0.99999254          0.00233126          0.00000543               49136          0.74975586                   0           vanillaGD                   0                  14          0.50000000          0.00000109          0.00004611          0.00000008
                   2                   1                   6               65536          0.60000000          1.00001066          0.00232172          0.00000539               48854          0.74545288                   0           vanillaGD                   0                  15          0.50000000          0.00000152          0.00006653          0.00000012
                   2                   1                   6               65536          0.60000000          1.00001979          0.00238438          0.00000569               48973          0.74726868                   0           vanillaGD                   0                  16          0.50000000          0.00000457          0.00016330          0.00000035
                   2                   1                   6               65536          0.60000000          1.00009356          0.00254149          0.00000646               49007          0.74778748                   0           vanillaGD                   0                  17          0.50000000          0.00000634          0.00022938          0.00000049
                   2                   1                   6               65536          0.60000000          1.00002611          0.00240572          0.00000579               48918          0.74642944                   0           vanillaGD                   0                  18          0.50000000          0.00000183          0.00007039          0.00000013
                   2                   1                   6               65536          0.60000000          0.99999610          0.00233051          0.00000543               48820          0.74493408                   0           vanillaGD                   0                  19          0.50000000          0.00000097          0.00005749          0.00000005
                   2                   1                   6               65536          0.60000000          0.99995356          0.00230217          0.00000530               48983          0.74742126                   0           vanillaGD                   0                  20          0.50000000          0.00000368          0.00014169          0.00000029
                   2                   1                   6               65536          0.60000000          0.99997181          0.00229630          0.00000527               48964          0.74713135                   0           vanillaGD                   0                  21          0.50000000          0.00000174          0.00007871          0.00000011
                   2                   1                   6               65536          0.60000000          0.99999929          0.00232446          0.00000540               48967          0.74717712                   0           vanillaGD                   0                  22          0.50000000          0.00000291          0.00011626          0.00000019
                   2                   1                   6               65536          0.60000000          0.99997318          0.00230571          0.00000532               48975          0.74729919                   0           vanillaGD                   0                  23          0.50000000          0.00000545          0.00020417          0.00000039
                   2                   1                   6               65536          0.60000000          0.99996497          0.00233105          0.00000543               49098          0.74917603                   0           vanillaGD                   0                  24          0.50000000          0.00000579          0.00020929          0.00000044
                   2                   1                   6               65536          0.60000000          1.00004929          0.00239799          0.00000575               48927          0.74656677                   0           vanillaGD                   0                  25          0.50000000          0.00000553          0.00021211          0.00000043
                   2                   1                   6               65536          0.60000000          1.00004087          0.00240811          0.00000580               48939          0.74674988                   0           vanillaGD                   0                  26          0.50000000          0.00000274          0.00014261          0.00000014
                   2                   1                   6               65536          0.60000000          1.00001723          0.00238473          0.00000569               48885          0.74592590                   0           vanillaGD                   0                  27          0.50000000          0.00000272          0.00013840          0.00000020
                   2                   1                   6               65536          0.60000000          0.99999648          0.00234289          0.00000549               48815          0.74485779                   0           vanillaGD                   0                  28          0.50000000          0.00000358          0.00015863          0.00000022
                   2                   1                   6               65536          0.60000000          1.00003578          0.00236870          0.00000561               48975          0.74729919                   0           vanillaGD                   0                  29          0.50000000          0.00000153          0.00005930          0.00000010
                   2                   1                   6               65536          0.60000000          1.00003294          0.00236975          0.00000562               48801          0.74464417                   0           vanillaGD                   0                  30          0.50000000          0.00000305          0.00017763          0.00000017
                   2                   1                   6               65536          0.60000000          0.99999748          0.00235551          0.00000555               48894          0.74606323                   0           vanillaGD                   0                  31          0.50000000          0.00000174          0.00009184          0.00000009
                   2                   1                   6               65536          0.60000000          0.99993957          0.00225441          0.00000508               49040          0.74829102                   0           vanillaGD                   0                  32          0.50000000          0.00000087          0.00003852          0.00000007
                   2                   1                   6               65536          0.60000000          1.00001504          0.00236387          0.00000559               48851          0.74540710                   0           vanillaGD                   0                  33          0.50000000          0.00000329          0.00011978          0.00000025
                   2                   1                   6               65536          0.60000000          0.99996632          0.00227930          0.00000520               48829          0.74507141                   0           vanillaGD                   0                  34          0.50000000          0.00000082          0.00002908          0.00000006
                   2                   1                   6               65536          0.60000000          0.99994525          0.00230446          0.00000531               49268          0.75177002                   0           vanillaGD                   0                  35          0.50000000          0.00000531          0.00019220          0.00000041
                   2                   1                   6               65536          0.60000000          1.00006748          0.00243926          0.00000595               48801          0.74464417                   0           vanillaGD                   0                  36          0.50000000          0.00000442          0.00016916          0.00000031
                   2                   1                   6               65536          0.60000000          0.99992868          0.00227854          0.00000519               49178          0.75039673                   0           vanillaGD                   0                  37          0.50000000          0.00000127          0.00004540          0.00000009
                   2                   1                   6               65536          0.60000000          0.99998951          0.00233220          0.00000544               49012          0.74786377                   0           vanillaGD                   0                  38          0.50000000          0.00000208          0.00009372          0.00000013
                   2                   1                   6               65536          0.60000000          0.99998908          0.00232154          0.00000539               48766          0.74411011                   0           vanillaGD                   0                  39          0.50000000          0.00000461          0.00016492          0.00000035
                   2                   1                   6               65536          0.60000000          0.99996714          0.00237713          0.00000565               49042          0.74832153                   0           vanillaGD                   0                  40          0.50000000          0.00000349          0.00014419          0.00000023
                   2                   1                   6               65536          0.60000000          0.99998735          0.00242338          0.00000587               48982          0.74740601                   0           vanillaGD                   0                  41          0.50000000          0.00000177          0.00007989          0.00000011
                   2                   1                   6               65536          0.60000000          1.00002702          0.00237267          0.00000563               48835          0.74516296                   0           vanillaGD                   0                  42          0.50000000          0.00000216          0.00011082          0.00000016
                   2                   1                   6               65536          0.60000000          1.00002022          0.00245973          0.00000605               49118          0.74948120                   0           vanillaGD                   0                  43          0.50000000          0.00000398          0.00015633          0.00000027
                   2                   1                   6               65536          0.60000000          1.00002750          0.00242639          0.00000589               48832          0.74511719                   0           vanillaGD                   0                  44          0.50000000          0.00000345          0.00013022          0.00000027
                   2                   1                   6               65536          0.60000000          0.99999597          0.00231771          0.00000537               49015          0.74790955                   0           vanillaGD                   0                  45          0.50000000          0.00000186          0.00006649          0.00000014
                   2                   1                   6               65536          0.60000000          0.99999132          0.00235335          0.00000554               49036          0.74822998                   0           vanillaGD                   0                  46          0.50000000          0.00000089          0.00004547          0.00000006
                   2                   1                   6               65536          0.60000000          0.99993834          0.00226747          0.00000514               48954          0.74697876                   0           vanillaGD                   0                  47          0.50000000          0.00000039          0.00001592          0.00000002
                   2                   1                   6               65536          0.60000000          1.00005737          0.00238832          0.00000570               48922          0.74649048                   0           vanillaGD                   0                  48          0.50000000          0.00000145          0.00007918          0.00000010
                   2                   1                   6               65536          0.60000000          1.00002527          0.00241013          0.00000581               48904          0.74621582                   0           vanillaGD                   0                  49          0.50000000          0.00000329          0.00011964          0.00000025
                   2                   1                   6               65536          0.60000000          1.00001442          0.00235439          0.00000554               48865          0.74562073                   0           vanillaGD                   0                  50          0.50000000          0.00000237          0.00008543          0.00000017
                   2                   1                   6               65536          0.60000000          0.99998034          0.00233850          0.00000547               49017          0.74794006                   0           vanillaGD                   0                  51          0.50000000          0.00000313          0.00011535          0.00000024
                   2                   1                   6               65536          0.60000000          1.00002529          0.00236525          0.00000559               48931          0.74662781                   0           vanillaGD                   0                  52          0.50000000          0.00000649          0.00025642          0.00000051
                   2                   1                   6               65536          0.60000000          0.99999765          0.00234832          0.00000551               48956          0.74700928                   0           vanillaGD                   0                  53          0.50000000          0.00000281          0.00011439          0.00000022
                   2                   1                   6               65536          0.60000000          1.00004023          0.00244137          0.00000596               49007          0.74778748                   0           vanillaGD                   0                  54          0.50000000          0.00000108          0.00005666          0.00000008
                   2                   1                   6               65536          0.60000000          0.99992629          0.00225756          0.00000510               49130          0.74966431                   0           vanillaGD                   0                  55          0.50000000          0.00000451          0.00016690          0.00000035
                   2                   1                   6               65536          0.60000000          0.99998010          0.00233202          0.00000544               49199          0.75071716                   0           vanillaGD                   0                  56          0.50000000          0.00000166          0.00008313          0.00000012
                   2                   1                   6               65536          0.60000000          0.99996139          0.00231397          0.00000535               48987          0.74748230                   0           vanillaGD                   0                  57          0.50000000          0.00000229          0.00008365          0.00000018
