          Dimensions           Particles        Hidden-nodes         Metro-steps          StepLength              Energy          Energy_std          Energy_var       Accept_number        Accept_ratio        Imposampling       optimizerType         Interaction               Epoch        LearningRate      HiddenGradNorm     VisibleGradNorm      WeightGradNorm
                   2                   2                   2               65536             0.60000             3.28057             3.68465            13.57662               53771             0.82048                   1              adamGD                   1                   0             0.10000             0.00398             0.21116             0.00048
                   2                   2                   2               65536             0.60000             3.27549             2.43487             5.92861               50506             0.77066                   1              adamGD                   1                   1             0.10000             0.01951             0.26004             0.00636
                   2                   2                   2               65536             0.60000             3.24073             2.26466             5.12867               52327             0.79845                   1              adamGD                   1                   2             0.10000             0.00319             0.11952             0.00058
                   2                   2                   2               65536             0.60000             3.26113             2.37494             5.64032               53347             0.81401                   1              adamGD                   1                   3             0.10000             0.00291             0.13784             0.00030
                   2                   2                   2               65536             0.60000             3.24674             1.75333             3.07417               53497             0.81630                   1              adamGD                   1                   4             0.10000             0.00331             0.19483             0.00034
                   2                   2                   2               65536             0.60000             3.26618             1.95878             3.83682               53503             0.81639                   1              adamGD                   1                   5             0.10000             0.00168             0.17836             0.00023
                   2                   2                   2               65536             0.60000             3.25082             1.97608             3.90490               52768             0.80518                   1              adamGD                   1                   6             0.10000             0.00029             0.14225             0.00004
                   2                   2                   2               65536             0.60000             3.23358             1.82967             3.34768               52283             0.79778                   1              adamGD                   1                   7             0.10000             0.00047             0.12945             0.00013
                   2                   2                   2               65536             0.60000             3.23564             1.93958             3.76196               51621             0.78767                   1              adamGD                   1                   8             0.10000             0.00211             0.08802             0.00070
                   2                   2                   2               65536             0.60000             3.22850             1.74775             3.05465               50542             0.77121                   1              adamGD                   1                   9             0.10000             0.00206             0.07000             0.00080
                   2                   2                   2               65536             0.60000             3.25217             3.29176            10.83566               49235             0.75127                   1              adamGD                   1                  10             0.10000             0.00579             0.10238             0.00270
                   2                   2                   2               65536             0.60000             3.24327             1.80616             3.26221               47322             0.72208                   1              adamGD                   1                  11             0.10000             0.00400             0.06947             0.00231
                   2                   2                   2               65536             0.60000             3.22004             1.64032             2.69066               46913             0.71584                   1              adamGD                   1                  12             0.10000             0.01100             0.12252             0.00673
                   2                   2                   2               65536             0.60000             3.24973             2.92931             8.58087               48580             0.74127                   1              adamGD                   1                  13             0.10000             0.00073             0.05168             0.00029
                   2                   2                   2               65536             0.60000             3.21599             1.64369             2.70172               49344             0.75293                   1              adamGD                   1                  14             0.10000             0.00084             0.06887             0.00035
                   2                   2                   2               65536             0.60000             3.22984             2.16059             4.66816               50235             0.76653                   1              adamGD                   1                  15             0.10000             0.00305             0.06362             0.00124
                   2                   2                   2               65536             0.60000             3.21284             1.57192             2.47095               50860             0.77606                   1              adamGD                   1                  16             0.10000             0.00112             0.03317             0.00046
                   2                   2                   2               65536             0.60000             3.23575             1.80413             3.25488               50882             0.77640                   1              adamGD                   1                  17             0.10000             0.00109             0.05524             0.00042
                   2                   2                   2               65536             0.60000             3.22931             2.19504             4.81822               50819             0.77544                   1              adamGD                   1                  18             0.10000             0.00131             0.03729             0.00053
                   2                   2                   2               65536             0.60000             3.24875             3.13456             9.82547               50583             0.77184                   1              adamGD                   1                  19             0.10000             0.00120             0.06716             0.00042
                   2                   2                   2               65536             0.60000             3.22428             1.81956             3.31081               50408             0.76917                   1              adamGD                   1                  20             0.10000             0.00014             0.05585             0.00005
                   2                   2                   2               65536             0.60000             3.22819             1.70285             2.89969               50098             0.76443                   1              adamGD                   1                  21             0.10000             0.00024             0.03361             0.00008
                   2                   2                   2               65536             0.60000             3.21680             1.44093             2.07629               49824             0.76025                   1              adamGD                   1                  22             0.10000             0.00049             0.01517             0.00019
                   2                   2                   2               65536             0.60000             3.22977             1.71952             2.95675               49483             0.75505                   1              adamGD                   1                  23             0.10000             0.00046             0.02715             0.00016
                   2                   2                   2               65536             0.60000             3.23897             2.17254             4.71991               49093             0.74910                   1              adamGD                   1                  24             0.10000             0.00034             0.02503             0.00005
                   2                   2                   2               65536             0.60000             3.25433             3.92548            15.40938               48821             0.74495                   1              adamGD                   1                  25             0.10000             0.00184             0.03513             0.00077
                   2                   2                   2               65536             0.60000             3.22522             1.71396             2.93765               48542             0.74069                   1              adamGD                   1                  26             0.10000             0.00224             0.04420             0.00098
                   2                   2                   2               65536             0.60000             3.22284             1.52277             2.31884               48468             0.73956                   1              adamGD                   1                  27             0.10000             0.00042             0.03801             0.00013
                   2                   2                   2               65536             0.60000             3.22888             1.54012             2.37198               48616             0.74182                   1              adamGD                   1                  28             0.10000             0.00174             0.02904             0.00075
                   2                   2                   2               65536             0.60000             3.22981             2.43623             5.93523               49188             0.75055                   1              adamGD                   1                  29             0.10000             0.00277             0.04599             0.00115
                   2                   2                   2               65536             0.60000             3.23075             1.84304             3.39678               49744             0.75903                   1              adamGD                   1                  30             0.10000             0.00051             0.02385             0.00019
                   2                   2                   2               65536             0.60000             3.22601             1.87945             3.53234               49904             0.76147                   1              adamGD                   1                  31             0.10000             0.00085             0.01446             0.00030
                   2                   2                   2               65536             0.60000             3.21985             1.88425             3.55040               50349             0.76826                   1              adamGD                   1                  32             0.10000             0.00047             0.02920             0.00014
                   2                   2                   2               65536             0.60000             3.21942             1.81188             3.28291               50235             0.76653                   1              adamGD                   1                  33             0.10000             0.00189             0.03617             0.00064
                   2                   2                   2               65536             0.60000             3.21969             1.69911             2.88698               50319             0.76781                   1              adamGD                   1                  34             0.10000             0.00056             0.01207             0.00019
                   2                   2                   2               65536             0.60000             3.23496             2.01022             4.04099               50197             0.76595                   1              adamGD                   1                  35             0.10000             0.00047             0.03360             0.00014
                   2                   2                   2               65536             0.60000             3.22447             1.83786             3.37772               50080             0.76416                   1              adamGD                   1                  36             0.10000             0.00124             0.02341             0.00044
                   2                   2                   2               65536             0.60000             3.23559             2.04906             4.19866               49666             0.75784                   1              adamGD                   1                  37             0.10000             0.00042             0.02286             0.00016
                   2                   2                   2               65536             0.60000             3.23672             1.88919             3.56903               49355             0.75310                   1              adamGD                   1                  38             0.10000             0.00109             0.03739             0.00042
                   2                   2                   2               65536             0.60000             3.22174             1.97087             3.88431               49412             0.75397                   1              adamGD                   1                  39             0.10000             0.00025             0.02197             0.00009
                   2                   2                   2               65536             0.60000             3.23175             2.23585             4.99903               49069             0.74873                   1              adamGD                   1                  40             0.10000             0.00059             0.02093             0.00024
                   2                   2                   2               65536             0.60000             3.22701             2.29779             5.27986               48850             0.74539                   1              adamGD                   1                  41             0.10000             0.00267             0.05124             0.00112
                   2                   2                   2               65536             0.60000             3.22580             1.55782             2.42680               49015             0.74791                   1              adamGD                   1                  42             0.10000             0.00039             0.01867             0.00015
                   2                   2                   2               65536             0.60000             3.24131             2.61106             6.81766               49356             0.75311                   1              adamGD                   1                  43             0.10000             0.00034             0.01529             0.00013
                   2                   2                   2               65536             0.60000             3.21861             1.50647             2.26944               49363             0.75322                   1              adamGD                   1                  44             0.10000             0.00024             0.02395             0.00009
                   2                   2                   2               65536             0.60000             3.23597             2.15432             4.64108               49574             0.75644                   1              adamGD                   1                  45             0.10000             0.00116             0.03643             0.00041
                   2                   2                   2               65536             0.60000             3.22667             1.49947             2.24842               49342             0.75290                   1              adamGD                   1                  46             0.10000             0.00068             0.02547             0.00024
                   2                   2                   2               65536             0.60000             3.21877             1.52253             2.31810               49221             0.75105                   1              adamGD                   1                  47             0.10000             0.00116             0.02604             0.00043
                   2                   2                   2               65536             0.60000             3.23276             3.52010            12.39112               49234             0.75125                   1              adamGD                   1                  48             0.10000             0.00126             0.02479             0.00046
                   2                   2                   2               65536             0.60000             3.23301             2.16471             4.68596               49052             0.74847                   1              adamGD                   1                  49             0.10000             0.00134             0.03731             0.00050
                   2                   2                   2               65536             0.60000             3.21400             1.58462             2.51101               48927             0.74657                   1              adamGD                   1                  50             0.10000             0.00162             0.03483             0.00060
                   2                   2                   2               65536             0.60000             3.23026             2.36269             5.58230               49336             0.75281                   1              adamGD                   1                  51             0.10000             0.00043             0.02089             0.00015
                   2                   2                   2               65536             0.60000             3.21861             1.60403             2.57292               49187             0.75053                   1              adamGD                   1                  52             0.10000             0.00041             0.03597             0.00013
                   2                   2                   2               65536             0.60000             3.23513             2.58218             6.66764               49283             0.75200                   1              adamGD                   1                  53             0.10000             0.00148             0.02587             0.00047
                   2                   2                   2               65536             0.60000             3.24459             7.40266            54.79936               49440             0.75439                   1              adamGD                   1                  54             0.10000             0.00023             0.03675             0.00006
                   2                   2                   2               65536             0.60000             3.24439             2.24266             5.02952               49284             0.75201                   1              adamGD                   1                  55             0.10000             0.00204             0.06123             0.00066
                   2                   2                   2               65536             0.60000             3.22968             1.81212             3.28379               48987             0.74748                   1              adamGD                   1                  56             0.10000             0.00104             0.04859             0.00032
                   2                   2                   2               65536             0.60000             3.22777             1.36291             1.85752               48894             0.74606                   1              adamGD                   1                  57             0.10000             0.00131             0.02740             0.00038
                   2                   2                   2               65536             0.60000             3.22383             2.00833             4.03339               48891             0.74602                   1              adamGD                   1                  58             0.10000             0.00076             0.05362             0.00021
                   2                   2                   2               65536             0.60000             3.23956             1.65453             2.73747               48856             0.74548                   1              adamGD                   1                  59             0.10000             0.00052             0.02877             0.00014
                   2                   2                   2               65536             0.60000             3.23836             2.39675             5.74442               49127             0.74962                   1              adamGD                   1                  60             0.10000             0.00117             0.01366             0.00034
                   2                   2                   2               65536             0.60000             3.22296             1.47537             2.17672               49039             0.74828                   1              adamGD                   1                  61             0.10000             0.00095             0.03711             0.00028
                   2                   2                   2               65536             0.60000             3.23222             1.48091             2.19308               49340             0.75287                   1              adamGD                   1                  62             0.10000             0.00073             0.03154             0.00022
                   2                   2                   2               65536             0.60000             3.21811             1.45606             2.12011               49292             0.75214                   1              adamGD                   1                  63             0.10000             0.00080             0.02144             0.00024
                   2                   2                   2               65536             0.60000             3.23440             1.69840             2.88457               49567             0.75633                   1              adamGD                   1                  64             0.10000             0.00087             0.04626             0.00025
                   2                   2                   2               65536             0.60000             3.23261             1.69420             2.87032               49718             0.75864                   1              adamGD                   1                  65             0.10000             0.00091             0.02865             0.00028
                   2                   2                   2               65536             0.60000             3.23515             2.17208             4.71795               49681             0.75807                   1              adamGD                   1                  66             0.10000             0.00032             0.02725             0.00010
                   2                   2                   2               65536             0.60000             3.21730             1.39820             1.95496               49459             0.75468                   1              adamGD                   1                  67             0.10000             0.00095             0.04282             0.00032
                   2                   2                   2               65536             0.60000             3.23099             2.09022             4.36901               49208             0.75085                   1              adamGD                   1                  68             0.10000             0.00058             0.04060             0.00020
                   2                   2                   2               65536             0.60000             3.22987             3.65068            13.32749               49486             0.75510                   1              adamGD                   1                  69             0.10000             0.00024             0.04581             0.00006
                   2                   2                   2               65536             0.60000             3.22886             2.48239             6.16226               49633             0.75734                   1              adamGD                   1                  70             0.10000             0.00078             0.07606             0.00031
